Epoch 1/50, Average Loss: 18.365353847170457, Average Accuracy: 0.4682787045847813
Epoch 2/50, Average Loss: 12.79099839616199, Average Accuracy: 0.6296689872219285
Epoch 3/50, Average Loss: 12.363164130933063, Average Accuracy: 0.6420550576079961
Epoch 4/50, Average Loss: 15.720189167370703, Average Accuracy: 0.5448625243742818
Epoch 5/50, Average Loss: 14.142954631713161, Average Accuracy: 0.5905270882293698
Epoch 6/50, Average Loss: 15.25517288724989, Average Accuracy: 0.5583260561090975
Epoch 7/50, Average Loss: 19.34406229687063, Average Accuracy: 0.43994316010971346
Epoch 8/50, Average Loss: 14.733538812997793, Average Accuracy: 0.5734280868994155
Epoch 9/50, Average Loss: 16.929857218030623, Average Accuracy: 0.5098399032374009
Epoch 10/50, Average Loss: 16.483822832302494, Average Accuracy: 0.522753802441109
Epoch 11/50, Average Loss: 17.735782241635707, Average Accuracy: 0.4865063519889311
Epoch 12/50, Average Loss: 16.365819047511778, Average Accuracy: 0.5261706535753473
Epoch 13/50, Average Loss: 18.48594085969194, Average Accuracy: 0.46478748802710024
Epoch 14/50, Average Loss: 18.664961747753285, Average Accuracy: 0.4596049641518748
Epoch 15/50, Average Loss: 15.326612039003933, Average Accuracy: 0.5562579445309627
Epoch 16/50, Average Loss: 18.641165190013254, Average Accuracy: 0.4602942167035879
Epoch 17/50, Average Loss: 18.159713591665824, Average Accuracy: 0.4742329370463828
Epoch 18/50, Average Loss: 17.747205874679725, Average Accuracy: 0.48617542324709395
Epoch 19/50, Average Loss: 17.37328772003598, Average Accuracy: 0.4970021699331273
Epoch 20/50, Average Loss: 16.36569097392901, Average Accuracy: 0.5261735456404322
Epoch 21/50, Average Loss: 17.933680250376163, Average Accuracy: 0.4807772951243676
Epoch 22/50, Average Loss: 14.132060541565377, Average Accuracy: 0.5908419504472137
Epoch 23/50, Average Loss: 15.556519938636127, Average Accuracy: 0.5496014076576075
Epoch 24/50, Average Loss: 18.332809977013426, Average Accuracy: 0.46922148938018493
Epoch 25/50, Average Loss: 13.764111391138954, Average Accuracy: 0.6014949595675548
